filename	width	height	status	ref_count	locales	sample_pages
appendix-ai-15-stage-history-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch02-llm-overview/01-development-history.md
appendix-ai-15-stage-history-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch02-llm-overview/01-development-history.md
appendix-ai-15-stage-history-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch02-llm-overview/01-development-history.md
ch06-transfer-learning-freeze-finetune-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch01-nlp-crash/03-pretrained-models.md
ch06-transfer-learning-freeze-finetune-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/03-pretrained-models.md
ch06-transfer-learning-freeze-finetune-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch01-nlp-crash/03-pretrained-models.md
ch07-advanced-prompt-technique-decision-map-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch05-prompt/02-advanced-prompting.md
ch07-advanced-prompt-technique-decision-map-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/02-advanced-prompting.md
ch07-advanced-prompt-technique-decision-map.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch05-prompt/02-advanced-prompting.md
ch07-alignment-app-safety-map-en.webp	1536	1024	candidate	1	en	docs/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-app-safety-map-ja.webp	1536	1024	candidate	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-app-safety-map.webp	1536	1024	candidate	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-chapter-flow-en.webp	1024	1792	keep	1	en	docs/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-chapter-flow-ja.webp	1024	1792	keep	1	ja	i18n/ja/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-chapter-flow.webp	1024	1792	keep	1	zh-Hans	i18n/zh-Hans/docusaurus-plugin-content-docs/current/ch07-llm-principles/ch07-alignment/00-roadmap.md
ch07-alignment-hhh-tension-guardrail-map-en.webp	1024	1792	keep	3	en	docs/ch07-llm-principles/ch07-alignment/00-roadmap.md;docs/ch07-llm-principles/ch07-alignment/01-alignment-problem.md;docs/ch07-llm-principles/ch07-alignment/04-safety-evaluation-lab.md
